493,578,1997,1270,1476,1398,168,1875,1141,1355,69,1447,1266,687,1185,83,1705,1518,1607,657,0,1,2016
1345,1855,1356,1593,1782,1985,1217,952,49,49,1044,123,559,1777,730,790,1124,1084,732,732,0,1,2016
1204,1119,1096,666,1892,398,1412,1665,1674,1316,1259,1261,710,476,594,221,1799,1201,793,392,1,0,2016
599,930,194,149,1218,1243,1091,1424,53,882,2010,524,1454,65,1216,305,109,333,1052,751,1,0,2016
373,1888,329,1508,760,1323,1489,496,1087,1087,948,415,1542,1958,571,1992,891,2029,1481,2029,1,0,2016
191,148,293,1699,523,946,1978,537,1386,1386,679,697,743,55,1491,803,8,859,1148,1148,1,0,2016
269,1017,1426,1885,653,303,658,1221,302,705,1303,38,399,1325,1374,1546,845,1068,1031,426,0,1,2016
354,1515,1300,1676,336,352,1557,744,974,974,2026,707,1033,245,942,597,34,1587,197,1587,0,1,2016
587,1020,301,819,231,1350,232,1297,138,1297,612,1069,1666,1066,396,20,1719,1979,1190,1979,1,0,2016
35,1002,1092,1841,1389,183,261,609,177,421,195,951,1130,542,1211,196,1319,1784,1315,1615,1,0,2016
381,481,1171,57,1990,318,1009,3,442,442,1056,593,1357,1961,96,1989,1390,486,1933,1933,1,0,2016
1204,1119,1096,666,1892,398,1412,1674,1134,1574,1259,1261,710,476,594,221,1799,1201,492,632,1,0,2016
1512,1192,1645,1477,1244,740,42,409,1254,720,584,1766,1572,56,1462,826,1661,674,1646,464,0,1,2016
599,930,1218,149,194,1091,53,1369,576,1057,2010,488,1454,65,305,1216,109,333,1052,119,1,0,2016
373,1888,329,1508,760,1489,190,496,361,361,948,1772,1542,571,1958,891,1992,1765,1481,1765,0,1,2016
1464,643,1980,569,794,1870,278,205,863,573,1588,932,731,1448,337,1987,1327,1146,469,478,1,0,2016
493,578,1997,1270,1476,1398,168,1875,74,1505,69,1447,1266,687,1185,83,1705,1518,1607,429,1,0,2016
829,1172,1419,844,1480,905,1101,145,1173,1173,583,1309,438,764,1330,1158,852,54,1957,1957,1,0,2016
587,1020,301,819,231,1350,232,1050,138,1050,612,1719,1666,1066,396,1591,20,1069,1000,1000,1,0,2016
1093,756,325,461,328,1286,1571,1331,923,501,875,19,90,1324,321,276,380,1776,600,1332,1,0,2016
35,1002,1092,1841,1389,183,261,76,177,1108,448,951,1130,542,1211,196,1128,2003,1315,393,1,0,2016
1345,1782,1356,1593,1985,243,952,72,1415,1415,1044,123,559,1777,730,790,1124,1084,1059,1059,0,1,2016
381,481,1171,57,1990,318,1009,172,1728,1728,1056,486,1357,1961,593,1989,96,1390,909,909,1,0,2016
1204,1119,1096,666,1892,1170,1412,1665,1674,25,1259,1261,710,476,594,221,1799,1201,793,894,0,1,2016
1512,1192,1645,1477,1244,740,409,497,1254,813,584,1766,1572,56,1462,826,1661,674,1646,1329,1,0,2016
496,1888,329,1508,1323,1689,1489,229,1901,1901,948,415,1542,571,891,234,407,1536,1481,1536,1,0,2016
1413,148,293,1699,523,946,1978,537,1783,1783,679,697,743,55,1491,803,8,859,295,295,1,0,2016
269,1017,1426,1885,653,303,658,1221,302,1230,1303,38,399,1325,1374,1546,845,1068,1031,2007,0,1,2016
354,744,1515,1300,547,317,1557,1910,24,24,2026,707,1033,597,942,1732,837,235,197,235,0,1,2016
1464,643,1980,569,794,1870,278,205,863,440,731,1109,932,1448,337,1987,1327,1146,1918,322,0,1,2016
829,1172,1419,844,1480,920,1101,145,140,140,583,1309,438,764,1330,1158,852,54,1100,1100,1,0,2016
138,1020,301,819,231,1350,232,963,788,963,612,1719,1666,1066,396,1591,20,1818,1069,1818,0,1,2016
1093,756,325,461,328,1286,1930,1571,923,470,875,259,90,1324,276,321,380,1776,600,1409,0,1,2016
35,1002,1092,1841,1389,183,261,76,177,335,195,1211,951,542,196,1128,1319,2003,1315,1773,0,1,2016
1345,1782,1356,243,1985,1217,952,973,1439,1439,1044,123,559,1777,730,790,1124,1084,1143,1143,0,1,2016
381,481,1171,57,1990,318,1009,3,1189,1189,1056,486,1357,1961,1989,593,96,857,116,116,1,0,2016
1204,1119,1096,666,1892,398,1665,715,552,839,1259,237,710,1792,594,1799,1830,1201,492,1362,0,1,2016
1254,1244,1645,1477,42,1749,1283,1786,1192,1950,1766,826,1572,56,1661,1690,1169,288,796,460,1,0,2016
584,1766,56,1572,826,1462,1661,674,1646,591,2010,488,1454,65,305,1216,109,757,1052,806,0,1,2016
599,930,194,149,1218,1243,1424,53,1045,1045,948,1481,1542,571,1958,891,1992,415,1662,1662,1,0,2016
269,541,1017,1426,1885,653,658,1048,302,1562,1031,1510,1303,399,1325,845,1546,1068,310,1935,0,1,2016
