587,231,819,301,232,659,918,1020,1297,1297,9,415,1542,891,1992,234,571,962,2029,2029,0,1,2017
1243,1218,149,194,53,930,1973,1057,939,1057,599,72,1345,993,1985,1782,952,1593,330,330,0,1,2017
259,752,783,1356,875,1776,380,21,1655,1332,476,1201,710,221,1799,1261,1830,1301,593,392,0,1,2017
598,1119,1096,1185,1892,1665,1792,1204,715,1310,1749,38,1303,399,1325,1958,824,1068,845,1198,0,1,2017
37,1777,123,790,559,730,1117,1124,1084,762,643,115,1464,794,1462,1980,863,1527,1717,1620,0,1,2017
354,816,1515,1300,1412,1850,317,744,974,974,197,1106,1033,34,707,1732,2026,1894,1727,1727,1,0,2017
948,1460,1645,1477,1244,542,1254,1456,919,720,756,78,1093,325,321,1130,2009,276,1512,501,0,1,2017
1306,1961,1989,820,1691,176,697,994,1869,994,131,481,1171,57,1259,1009,1991,1990,442,442,0,1,2017
373,496,329,1508,1888,760,1323,1864,1055,1055,1069,695,1666,1870,612,1190,988,1521,1154,1154,1,0,2017
83,1447,1266,687,1705,243,1545,69,1601,536,269,1633,302,1017,1426,923,1089,1382,653,705,0,1,2017
679,544,743,1357,1491,245,55,1908,1148,1148,1110,168,1997,493,1476,942,1270,1605,1505,1505,0,1,2017
2010,1216,1454,65,305,315,109,537,1328,1622,1588,1379,1703,1211,1784,951,1885,2003,1315,1183,0,1,2017
337,731,1396,666,1109,1987,1918,1988,30,478,328,1766,1511,1448,1661,1066,1029,674,1156,2008,1,0,2017
583,852,438,764,1158,1309,589,54,657,657,1877,35,293,523,1699,946,1781,1374,1783,1783,0,1,2017
776,231,819,301,232,659,411,1020,1050,1050,9,571,1542,891,1992,234,415,962,1536,1536,1,0,2017
829,1480,1419,1941,1172,1457,905,856,1101,1173,1922,1829,1389,1092,1841,451,183,1519,869,1108,1,0,2017
948,1460,1645,1477,1244,542,1254,1456,919,813,756,78,1093,325,321,1130,709,276,1331,1250,0,1,2017
1869,1306,1961,1989,1691,820,176,697,443,443,1259,481,1171,740,1990,57,1991,683,1189,1189,1,0,2017
373,496,329,1508,1888,760,1323,1864,1898,1898,1069,1190,1666,612,1870,985,988,1521,2016,2016,1,0,2017
2010,1216,1454,65,964,315,109,537,1328,1366,1588,1379,1703,1211,1784,951,1885,2003,1315,1737,1,0,2017
1243,1218,149,53,1973,930,939,882,64,882,599,72,1345,993,1985,1782,1593,1217,49,49,1,0,2017
259,752,783,1356,875,1776,380,21,1655,308,1799,1201,710,1621,1830,221,593,527,1557,894,1,0,2017
337,731,1396,666,1109,237,1988,1987,177,322,328,1766,1511,1448,1661,1690,1029,674,1646,1329,1,0,2017
776,231,819,301,232,659,918,1020,1362,1362,9,415,1542,891,1992,234,409,1481,1808,1808,0,1,2017
598,1119,1096,1185,1892,1665,1792,1170,1204,839,1031,38,1303,1325,399,1890,1958,1068,845,647,0,1,2017
1084,1777,123,790,559,730,1124,1117,37,910,643,115,1980,794,1462,429,863,1527,1717,421,0,1,2017
354,816,1515,1300,1850,13,317,744,969,969,197,1106,1033,34,707,1732,2026,1894,235,235,0,1,2017
948,1460,1645,1477,1244,542,1456,919,1254,906,756,78,1093,325,321,2009,709,1130,892,376,0,1,2017
1306,1961,1989,820,1691,176,697,1880,1869,1880,131,481,1171,57,1259,1009,1991,1990,1615,1615,0,1,2017
373,496,329,1508,1888,760,1323,1864,1901,1901,1069,695,1666,1870,812,1213,1305,1521,1979,1979,0,1,2017
83,1447,1266,687,1705,1545,387,69,1601,828,269,1382,302,1017,1426,923,658,653,1633,806,0,1,2017
679,544,743,1357,1491,245,55,1221,186,186,1110,168,1997,493,1476,942,1270,1875,874,874,1,0,2017
2010,1216,1454,65,305,315,109,537,1328,751,1379,951,1703,1211,1784,1885,2003,1315,1588,991,1,0,2017
259,752,783,1356,875,1776,380,21,1655,1409,476,1201,710,221,1799,1261,1830,1301,593,80,0,1,2017
337,731,237,666,1109,1988,177,1644,30,540,584,1766,1511,1448,1661,328,1066,1029,674,464,1,0,2017
583,852,438,764,1158,1309,589,54,511,511,1877,35,293,523,1699,148,946,1374,1810,1810,0,1,2017
776,231,819,301,232,659,411,20,963,963,9,571,1542,891,415,407,517,962,1634,1634,0,1,2017
