1345,930,1356,993,1335,1985,1217,1056,49,49,599,1091,149,1776,397,1450,576,1057,1852,1057,1,0,2015
1512,1020,138,301,231,350,232,788,1297,1297,9,679,1542,1325,20,415,1895,1481,1118,1118,1,0,2015
1124,790,123,1476,1777,1546,730,1084,732,732,197,1033,1841,597,1327,942,245,2026,1050,1050,0,1,2015
541,269,1017,1866,1188,1885,1524,1221,1080,1562,1588,829,1419,1941,844,1997,1480,76,1101,573,0,1,2015
1394,932,1396,337,1987,243,1689,1265,1109,478,1093,756,1286,709,396,923,951,461,892,501,0,1,2015
35,1389,1092,40,183,96,474,1908,1392,963,69,1447,1266,687,1185,83,89,1705,1518,2005,0,1,2015
1961,593,1357,1172,1966,952,2003,445,909,909,1002,1990,57,816,318,1146,1009,3,442,442,0,1,2015
696,859,1491,743,432,1179,67,109,1148,1148,583,438,764,1446,1330,1309,920,54,808,808,1,0,2015
373,329,1892,1167,1508,476,1489,496,1234,1234,328,1066,1666,155,42,1211,1719,948,1238,1238,1,0,2015
1110,1665,1096,666,1119,609,502,1204,598,628,875,259,321,1324,276,380,90,1781,600,1332,1,0,2015
1254,674,1572,56,1766,1690,1462,1646,1661,2007,488,1709,194,196,834,261,1784,1315,691,1773,0,1,2015
1464,643,569,794,1527,1758,1980,1675,440,440,191,1515,381,1676,336,777,451,744,464,464,1,0,2015
1216,1454,65,1379,559,697,305,409,1052,970,177,1749,1645,1477,1244,1261,1456,637,221,720,0,1,2015
74,1303,38,1792,1871,586,1672,1068,310,426,1044,1799,168,710,904,594,1605,1259,1201,392,1,0,2015
493,578,1270,1399,523,1141,1875,1976,186,186,1413,2010,293,1699,1978,826,512,1917,1386,1386,1,0,2015
1512,1020,138,301,231,350,232,788,1695,1695,679,20,1542,571,1325,891,1895,1481,1662,1662,0,1,2015
1961,593,1357,1172,1966,2003,952,97,1933,1933,1002,1990,57,816,1991,318,1146,1009,2029,2029,1,0,2015
696,859,1491,743,432,1179,410,109,95,95,583,438,764,1446,1330,1309,920,54,1334,1334,1,0,2015
373,329,1892,1167,1508,476,1489,496,1076,1076,328,1066,42,155,1211,760,948,1719,1351,1351,1,0,2015
1254,674,1572,56,1766,1690,1462,324,1661,460,1709,691,194,196,834,261,1784,1315,488,983,1,0,2015
1216,1454,65,559,305,697,409,469,1052,307,1621,177,1645,1477,1244,1169,1261,1456,221,906,1,0,2015
74,1792,1871,38,399,1303,1672,310,714,1957,237,1799,168,710,594,1259,1605,1830,1201,1469,1,0,2015
1512,1350,138,301,350,1165,232,805,408,408,9,415,1542,571,1325,891,758,444,974,974,1,0,2015
1345,930,1356,1335,993,1056,1985,1217,1249,1249,599,1091,149,1776,397,1424,162,882,1852,882,0,1,2015
1124,790,123,1476,1777,1546,730,1084,762,762,197,1033,1841,597,942,1327,245,2026,1439,1439,0,1,2015
541,269,1017,1866,1188,1885,1524,1221,1080,1622,145,829,1419,1941,844,1997,1480,76,1101,140,0,1,2015
1394,1109,932,337,243,1987,568,1265,1428,322,1093,756,1286,709,396,923,951,461,892,1727,1,0,2015
35,1389,1092,183,96,40,775,1908,2002,1108,69,1447,1266,687,1185,83,89,1705,1518,536,0,1,2015
1961,593,1357,1172,1966,2003,1989,97,116,116,1002,1990,57,816,1991,318,1146,1009,241,241,0,1,2015
859,109,1491,743,8,1070,67,315,1765,1765,583,438,764,1446,1330,1309,54,962,1844,1844,1,0,2015
373,329,1892,1167,1508,476,1489,496,651,651,328,1066,42,155,1211,760,948,1719,1979,1979,1,0,2015
1110,1665,1096,666,1119,502,1204,1170,598,1574,875,259,321,1324,276,380,90,1781,600,1409,0,1,2015
1254,674,56,1572,1690,898,48,1661,1646,1658,488,458,194,196,1319,261,1128,1315,1913,1728,0,1,2015
1464,643,1527,794,1448,524,1675,1980,1620,1620,191,336,381,1676,547,451,958,744,18,18,0,1,2015
1216,1454,65,1379,559,697,409,669,1052,1366,177,637,1645,1477,1244,1621,1261,1456,221,813,1,0,2015
74,1792,1871,38,399,1303,1672,1681,1068,1423,558,1799,168,710,594,1201,1259,101,1605,894,0,1,2015
493,578,1270,1399,523,1141,1875,874,1976,874,1413,2010,293,1699,1978,826,512,1917,1082,1082,0,1,2015
1124,790,123,1476,1777,1546,1084,1861,1,1,197,1033,1841,597,942,1327,245,2026,144,144,0,1,2015
541,269,1017,1866,1188,1885,658,407,1080,1230,145,829,1419,1941,844,1997,1480,76,1101,1755,0,1,2015
